,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
30156,25424320,43785574,2015-09-09,f,1.0,t,Greenpoint,Brooklyn,40.72163,-73.9478,t,Apartment,Private room,1.0,1.0,Real Bed,$110.00,87
30160,25426781,17581024,2014-07-03,t,2.0,t,Park Slope,Brooklyn,40.67731,-73.98138,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,36
30161,25428063,3623796,2012-09-20,f,1.0,t,West Village,Manhattan,40.73788,-74.00183,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$170.00,0
30164,25443451,64660747,2016-03-27,f,1.0,t,Tribeca,Manhattan,40.71725,-74.00524,t,Loft,Entire home/apt,1.0,2.0,Real Bed,$300.00,112
30166,25445960,85541181,2016-07-23,f,1.0,t,Midtown,Manhattan,40.75115,-73.98607,t,Apartment,Private room,1.0,1.0,Real Bed,$300.00,173
30167,25446811,1844352,2012-03-02,f,3.0,t,Williamsburg,Brooklyn,40.7117,-73.94388000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,63
30169,25448314,51501835,2015-12-16,f,18.0,t,Upper East Side,Manhattan,40.78182,-73.95391,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$123.00,308
30171,25448758,895135,2011-07-30,f,3.0,t,Williamsburg,Brooklyn,40.7066,-73.94595,t,Apartment,Private room,1.0,1.0,Real Bed,$95.00,124
30176,25452119,1581733,2012-01-08,f,2.0,t,Williamsburg,Brooklyn,40.71071,-73.95957,t,Apartment,Private room,1.0,1.0,Real Bed,$120.00,73
30178,25453503,5572415,2013-03-22,f,1.0,t,Williamsburg,Brooklyn,40.70795,-73.94740999999999,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$100.00,0
30182,25455986,21653460,2014-09-22,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.69399,-73.95269,t,Townhouse,Entire home/apt,3.0,3.0,Real Bed,$125.00,0
30186,25457112,7614595,2013-07-20,f,2.0,t,Astoria,Queens,40.76608,-73.92908,t,Apartment,Private room,1.0,1.0,Real Bed,$130.00,91
30188,25458048,9582456,2013-10-22,f,2.0,t,Greenpoint,Brooklyn,40.722640000000006,-73.94272,t,Condominium,Entire home/apt,1.0,1.0,Real Bed,$150.00,0
30193,25464945,1904806,2012-03-11,t,2.0,t,Chelsea,Manhattan,40.7395,-74.00112,t,Apartment,Private room,1.0,1.0,Real Bed,$125.00,0
30196,25468554,9864136,2013-11-07,f,23.0,t,Bushwick,Brooklyn,40.68674,-73.9151,t,Apartment,Private room,1.0,1.0,Real Bed,$36.00,336
30201,25474632,37151670,2015-06-30,t,1.0,t,Long Island City,Queens,40.7639,-73.93199,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,243
30202,25475257,6104449,2013-04-26,f,1.0,t,Clinton Hill,Brooklyn,40.68553,-73.95965,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$95.00,0
30206,25476838,78289814,2016-06-17,t,1.0,t,North Riverdale,Bronx,40.903290000000005,-73.89990999999999,t,Apartment,Entire home/apt,1.0,0.0,Real Bed,$105.00,61
30207,25476912,38675275,2015-07-16,t,2.0,t,Belle Harbor,Queens,40.57592,-73.84823,t,Guest suite,Private room,2.0,2.0,Real Bed,$200.00,203
30215,25484398,8063576,2013-08-10,f,1.0,t,Greenpoint,Brooklyn,40.72724,-73.94843,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$85.00,0
30217,25484596,3674382,2012-09-25,f,1.0,t,Williamsburg,Brooklyn,40.715709999999994,-73.94396,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$185.00,8
30218,25485201,8050394,2013-08-09,f,1.0,t,West Village,Manhattan,40.73308,-74.00456,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$157.00,0
30226,25489369,4129805,2012-11-12,f,6.0,t,West Village,Manhattan,40.73281,-74.00205,t,Apartment,Entire home/apt,3.0,5.0,Real Bed,$325.00,51
30227,25491443,188023318,2018-05-05,f,15.0,t,Greenpoint,Brooklyn,40.72609,-73.95681,t,Loft,Entire home/apt,4.0,7.0,Real Bed,$460.00,100
30228,25491908,6778614,2013-06-06,f,2.0,t,Bushwick,Brooklyn,40.70878,-73.92215,t,Loft,Shared room,1.0,1.0,Real Bed,$30.00,0
30230,25492295,8067740,2013-08-10,f,1.0,t,Harlem,Manhattan,40.80462,-73.95622,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$180.00,146
30234,25503259,3090750,2012-07-29,f,2.0,t,Upper East Side,Manhattan,40.76931,-73.94841,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,0
30236,25504104,60346942,2016-02-25,f,4.0,t,Bedford-Stuyvesant,Brooklyn,40.6931,-73.94463,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,0
30238,25505295,2881147,2012-07-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68177,-73.92444,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$120.00,41
30240,25506360,37322613,2015-07-02,f,1.0,t,Woodside,Queens,40.74422,-73.90285,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
