,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
4058,2995701,15271110,2014-05-08,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68548,-73.92039,t,Townhouse,Entire home/apt,2.0,3.0,Real Bed,$135.00,231
4060,3003127,11998560,2014-02-06,t,2.0,t,Crown Heights,Brooklyn,40.674009999999996,-73.92833,t,Apartment,Private room,1.0,1.0,Real Bed,$66.00,2
4062,3004348,15310896,2014-05-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.684259999999995,-73.95054,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$100.00,332
4063,3005261,7629544,2013-07-21,f,1.0,t,Washington Heights,Manhattan,40.85719,-73.93573,t,Apartment,Private room,1.0,1.0,Real Bed,$185.00,365
4066,3010577,550520,2011-05-02,f,2.0,t,East Flatbush,Brooklyn,40.65262,-73.94866999999999,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$115.00,33
4067,3010664,5663597,2013-03-28,f,1.0,t,Prospect Heights,Brooklyn,40.67553,-73.96376,t,Townhouse,Entire home/apt,5.0,6.0,Real Bed,$350.00,72
4068,3010988,13208084,2014-03-17,f,3.0,t,Crown Heights,Brooklyn,40.6769,-73.94483000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$32.00,364
4070,3013158,15355526,2014-05-10,f,1.0,t,Chelsea,Manhattan,40.738929999999996,-73.99464,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$350.00,0
4073,3018285,67180,2010-01-02,f,1.0,t,West Village,Manhattan,40.73722,-74.00043000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$190.00,0
4074,3018422,8656650,2013-09-05,f,1.0,t,Harlem,Manhattan,40.80453,-73.95699,t,Apartment,Private room,1.0,1.0,Real Bed,$110.00,154
4076,3021617,10842335,2013-12-27,f,1.0,t,Downtown Brooklyn,Brooklyn,40.689679999999996,-73.98404000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,0
4078,3029690,7245581,2013-07-02,f,21.0,t,Chelsea,Manhattan,40.74873,-73.99557,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$93.00,276
4079,3032355,15445130,2014-05-12,f,1.0,t,Upper East Side,Manhattan,40.76712,-73.95668,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,0
4082,3038797,7503643,2013-07-15,t,52.0,t,Greenpoint,Brooklyn,40.7276,-73.94029,t,Serviced apartment,Entire home/apt,1.0,0.0,Real Bed,$129.00,365
4083,3039110,8159536,2013-08-14,f,4.0,t,Concourse Village,Bronx,40.832879999999996,-73.91834,t,Apartment,Private room,4.0,4.0,Real Bed,$50.00,237
4084,3039332,15476280,2014-05-13,f,1.0,t,Kensington,Brooklyn,40.64638,-73.97723,t,House,Entire home/apt,3.0,5.0,Real Bed,$499.00,0
4087,3040654,6041,2009-01-05,f,1.0,t,Ditmars Steinway,Queens,40.77748,-73.90971,t,Apartment,Private room,1.0,1.0,Real Bed,$47.00,0
4091,3042553,15492140,2014-05-13,f,1.0,t,Lower East Side,Manhattan,40.72232,-73.98987,t,Apartment,Private room,4.0,1.0,Real Bed,$77.00,71
4093,3043127,955253,2011-08-11,f,1.0,t,Williamsburg,Brooklyn,40.71029,-73.96813,t,Apartment,Entire home/apt,3.0,4.0,Real Bed,$290.00,306
4097,3050544,2534076,2012-06-03,f,1.0,t,Park Slope,Brooklyn,40.6728,-73.97166,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$245.00,0
4099,3052904,15543098,2014-05-14,f,1.0,t,Upper East Side,Manhattan,40.77401,-73.9457,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,0
4103,3060297,7245581,2013-07-02,f,21.0,t,Chelsea,Manhattan,40.74897,-73.9968,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$86.00,362
4104,3060745,7101220,2013-06-25,f,1.0,t,East Harlem,Manhattan,40.79245,-73.94563000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$37.00,0
4105,3061093,15579200,2014-05-15,f,1.0,t,Williamsburg,Brooklyn,40.7172,-73.9616,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$240.00,0
4106,3061106,15581137,2014-05-15,f,1.0,t,West Village,Manhattan,40.73229,-74.00399999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$130.00,0
4107,3061995,6653718,2013-05-30,f,1.0,t,Long Island City,Queens,40.74902,-73.94066,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,0
4108,3066892,7503643,2013-07-15,t,52.0,t,Greenpoint,Brooklyn,40.72691,-73.94041,t,Serviced apartment,Entire home/apt,1.0,0.0,Real Bed,$149.00,365
4109,3067062,5317082,2013-03-04,f,2.0,t,Williamsburg,Brooklyn,40.71477,-73.94105,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,0
4110,3067093,3541594,2012-09-11,f,2.0,t,East Village,Manhattan,40.73057,-73.99034,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$200.00,0
4111,3067244,3241305,2012-08-13,f,1.0,t,Prospect-Lefferts Gardens,Brooklyn,40.659620000000004,-73.96063000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$99.00,0
4112,3067670,2539525,2012-06-04,f,1.0,t,Chelsea,Manhattan,40.74221,-73.9974,t,Apartment,Entire home/apt,3.0,3.0,Real Bed,$220.00,0
4113,3068047,15613241,2014-05-16,f,1.0,t,Upper East Side,Manhattan,40.78145,-73.95588000000001,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$250.00,0
4115,3068145,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.772090000000006,-73.9563,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$103.00,294
4116,3068852,13347167,2014-03-20,f,29.0,t,Upper East Side,Manhattan,40.772240000000004,-73.95629,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$117.00,353
4117,3070876,2448006,2012-05-23,f,3.0,t,Harlem,Manhattan,40.80392,-73.94685,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,365
4119,3073195,15639713,2014-05-17,f,1.0,t,Williamsburg,Brooklyn,40.70442,-73.95413,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,0
4121,3079237,13969061,2014-04-06,f,1.0,t,Lower East Side,Manhattan,40.71987,-73.98640999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$150.00,124
4122,3079567,740656,2011-06-24,f,1.0,t,Nolita,Manhattan,40.72293,-73.99413,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$300.00,365
4123,3080233,15674437,2014-05-18,f,1.0,t,Williamsburg,Brooklyn,40.70789,-73.94632,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$220.00,0
4124,3081771,15681707,2014-05-18,t,4.0,t,Crown Heights,Brooklyn,40.674890000000005,-73.91405,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$99.00,365
4125,3083197,15688520,2014-05-18,t,2.0,t,East Village,Manhattan,40.72592,-73.97991,t,Townhouse,Entire home/apt,4.0,6.0,Real Bed,$950.00,24
4126,3083899,15638528,2014-05-17,f,1.0,t,Upper West Side,Manhattan,40.78087,-73.97811999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
4128,3089305,2497381,2012-05-29,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68932,-73.95709000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,309
4130,3090922,4936720,2013-02-02,t,3.0,t,Williamsburg,Brooklyn,40.7152,-73.95445,t,Loft,Private room,1.0,1.0,Real Bed,$75.00,13
4133,3093104,15730873,2014-05-19,f,2.0,t,Washington Heights,Manhattan,40.85768,-73.92678000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$71.00,245
4134,3093240,7136700,2013-06-26,f,4.0,t,Crown Heights,Brooklyn,40.671040000000005,-73.94561999999999,t,House,Private room,1.0,1.0,Real Bed,$68.00,299
4135,3093469,7107807,2013-06-25,f,2.0,t,Clinton Hill,Brooklyn,40.68541,-73.96728,t,Apartment,Private room,1.0,1.0,Real Bed,$93.00,345
4138,3095348,13125226,2014-03-14,f,1.0,t,Williamsburg,Brooklyn,40.7177,-73.94612,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$200.00,337
4140,3095502,10930874,2013-12-31,f,1.0,t,Forest Hills,Queens,40.727129999999995,-73.84946,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,0
4141,3098703,9716281,2013-10-30,f,1.0,t,Harlem,Manhattan,40.80399,-73.94665,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,180
4142,3100156,1906150,2012-03-12,f,2.0,t,Upper East Side,Manhattan,40.7759,-73.94227,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,1
4143,3101058,15767190,2014-05-20,f,1.0,t,Flatbush,Brooklyn,40.65235,-73.9635,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$109.00,0
4144,3101140,9229108,2013-10-04,f,1.0,t,Greenpoint,Brooklyn,40.72126,-73.93961,t,Apartment,Private room,1.0,1.0,Real Bed,$126.00,0
4145,3103596,15778597,2014-05-20,f,1.0,t,Harlem,Manhattan,40.82243,-73.94785999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,364
4147,3105531,9306192,2013-10-08,f,1.0,t,Upper East Side,Manhattan,40.77766,-73.9561,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$750.00,0
4148,3105986,8822946,2013-09-13,f,1.0,t,Crown Heights,Brooklyn,40.67228,-73.96239,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$135.00,0
4149,3106154,2885147,2012-07-09,f,1.0,t,Rego Park,Queens,40.7246,-73.85744,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$52.00,0
4152,3112872,2641574,2012-06-14,f,1.0,t,Upper West Side,Manhattan,40.775729999999996,-73.98264,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$215.00,0
4153,3112953,15688520,2014-05-18,t,2.0,t,East Village,Manhattan,40.72488,-73.97995999999999,t,Townhouse,Private room,1.0,1.0,Real Bed,$240.00,247
4154,3113083,607880,2011-05-20,f,1.0,t,Financial District,Manhattan,40.71143,-74.00728000000001,t,Apartment,Entire home/apt,3.0,3.0,Real Bed,$490.00,280
4156,3116279,5352357,2013-03-06,f,1.0,t,Greenpoint,Brooklyn,40.72418,-73.94528000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$83.00,0
4157,3116327,15835028,2014-05-21,f,3.0,t,Harlem,Manhattan,40.814409999999995,-73.94672,t,Apartment,Private room,1.0,0.0,Real Bed,$85.00,0
