,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
71,12956315,5226800,2013-02-25,f,1.0,t,Ditmars Steinway,Queens,40.77373674611951,-73.91903127937387,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,0
72,17234796,261608,2010-10-14,f,1.0,t,Ditmars Steinway,Queens,40.771999533748854,-73.91847714079854,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$60.00,0
73,764052,2618273,2012-06-12,f,1.0,t,Ditmars Steinway,Queens,40.77466050019729,-73.91807086853075,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$390.00,15
76,3250448,16441089,2014-06-05,f,1.0,t,Ditmars Steinway,Queens,40.777183265401355,-73.92675944709045,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$89.00,166
78,21093522,82021863,2016-07-06,f,1.0,t,Ditmars Steinway,Queens,40.771598350400154,-73.91064284685288,t,House,Private room,1.0,1.0,Real Bed,$129.00,177
82,11625684,1172202,2011-09-17,f,6.0,t,Ditmars Steinway,Queens,40.7712315722108,-73.90931729850006,t,House,Private room,1.0,3.0,Real Bed,$100.00,129
84,11641041,7693749,2013-07-24,t,2.0,t,Ditmars Steinway,Queens,40.773099989734966,-73.91245981178187,t,Apartment,Entire home/apt,3.0,4.0,Real Bed,$188.00,88
85,18159825,23187808,2014-10-31,t,2.0,t,Ditmars Steinway,Queens,40.77412269339258,-73.90609628234077,t,House,Entire home/apt,1.0,3.0,Real Bed,$99.00,238
90,239733,1256874,2011-10-06,t,1.0,t,Ditmars Steinway,Queens,40.776794416525576,-73.91686688630948,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$68.00,316
91,10735397,24084263,2014-11-23,t,1.0,t,Ditmars Steinway,Queens,40.768930740674655,-73.90110385828757,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$110.00,71
92,10789911,32003714,2015-04-26,f,1.0,t,Ditmars Steinway,Queens,40.77567386005004,-73.92202285701126,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,363
