,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
10955,8423636,31230100,2015-04-14,f,1.0,t,Crown Heights,Brooklyn,40.67352302484991,-73.95633108100097,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$80.00,235
10956,428226,2128778,2012-04-12,f,2.0,t,Crown Heights,Brooklyn,40.67435988158621,-73.95599718928665,t,Apartment,Private room,1.0,1.0,Real Bed,$45.00,83
10959,14453053,18672641,2014-07-22,f,1.0,t,Crown Heights,Brooklyn,40.674513057607406,-73.95754447820012,t,Apartment,Private room,1.0,1.0,Real Bed,$335.00,365
10961,16416588,43870735,2015-09-10,f,1.0,t,Crown Heights,Brooklyn,40.67060140909032,-73.96025603608672,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$72.00,0
10962,14712405,32194600,2015-04-29,f,2.0,t,Crown Heights,Brooklyn,40.67091034867929,-73.9491728535494,t,Apartment,Private room,1.0,1.0,Real Bed,$83.00,84
10966,15238779,19523446,2014-08-05,f,2.0,t,Crown Heights,Brooklyn,40.67656971836698,-73.95943934611184,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,319
10971,2653544,157795,2010-07-04,f,2.0,t,Crown Heights,Brooklyn,40.67799271225996,-73.94709233053486,t,Apartment,Shared room,1.0,3.0,Real Bed,$45.00,11
10973,13925553,2822805,2012-07-03,t,7.0,t,Crown Heights,Brooklyn,40.669614831149346,-73.95827863767879,t,Apartment,Private room,1.0,2.0,Real Bed,$59.00,80
10975,2146145,8028564,2013-08-08,f,3.0,t,Crown Heights,Brooklyn,40.66934128207181,-73.95737154561769,t,Apartment,Private room,1.0,1.0,Real Bed,$49.00,60
10976,16418293,13441910,2014-03-23,f,1.0,t,Crown Heights,Brooklyn,40.667883313123134,-73.93543776403223,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$98.00,284
10977,5277117,6023360,2013-04-21,f,1.0,t,Crown Heights,Brooklyn,40.67220506759453,-73.95583571849545,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
10978,5641644,25354313,2014-12-29,f,1.0,t,Crown Heights,Brooklyn,40.67413167435392,-73.95916364052142,t,Apartment,Private room,1.0,1.0,Real Bed,$42.00,332
10980,9863626,11402864,2014-01-17,f,1.0,t,Crown Heights,Brooklyn,40.668907103421994,-73.9533043742428,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$85.00,0
10981,9339308,1793071,2012-02-22,t,1.0,t,Crown Heights,Brooklyn,40.6738834281378,-73.93952338391222,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$85.00,0
10982,3309982,16713474,2014-06-12,f,2.0,t,Crown Heights,Brooklyn,40.669386750182056,-73.94839281296728,t,House,Entire home/apt,3.0,4.0,Real Bed,$240.00,300
