,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
0,2515,2758,2008-09-06,f,3.0,t,Harlem,Manhattan,40.79920479936168,-73.95367574543542,t,Apartment,Private room,1.0,2.0,Real Bed,$59.00,316
3,3330,4177,2008-11-09,f,6.0,t,Williamsburg,Brooklyn,40.70855778333159,-73.94236227640226,t,Apartment,Private room,1.0,1.0,Real Bed,$70.00,279
5,3831,4869,2008-12-07,f,1.0,t,Clinton Hill,Brooklyn,40.68513770564301,-73.95975749881094,t,Other,Entire home/apt,1.0,3.0,Real Bed,$89.00,126
6,4989,7118,2009-01-26,f,1.0,t,Hell's Kitchen,Manhattan,40.76260047297085,-73.99304499336237,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,17
10,5172,7386,2009-02-03,f,1.0,t,Murray Hill,Manhattan,40.74495768021798,-73.9742009976176,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$129.00,0
12,5203,7490,2009-02-05,t,1.0,t,Upper West Side,Manhattan,40.80177930332421,-73.96722945870876,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,0
13,5238,7549,2009-02-07,f,4.0,t,Chinatown,Manhattan,40.71344378719157,-73.99037467751003,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$120.00,181
14,5295,7702,2009-02-10,f,1.0,t,Upper West Side,Manhattan,40.803158111055154,-73.9654464539624,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,249
16,5441,7989,2009-02-16,t,1.0,t,Hell's Kitchen,Manhattan,40.76075987402332,-73.98866654569328,t,Apartment,Private room,1.0,1.0,Real Bed,$126.00,49
17,5803,9744,2009-03-10,f,3.0,t,South Slope,Brooklyn,40.66829025291507,-73.98779092634729,t,House,Private room,1.0,1.0,Real Bed,$82.00,279
19,6090,11975,2009-04-01,f,2.0,t,West Village,Manhattan,40.73530467739521,-74.00524659134572,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$175.00,1
21,6990,16800,2009-05-12,t,4.0,t,East Harlem,Manhattan,40.78962413372014,-73.94802016385479,t,Apartment,Private room,1.0,1.0,Real Bed,$95.00,0
22,7097,17571,2009-05-17,t,2.0,t,Fort Greene,Brooklyn,40.69168544458396,-73.97184549390258,t,House,Entire home/apt,1.0,2.0,Real Bed,$215.00,353
