,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
33812,15009751,20317929,2014-08-20,f,1.0,t,Upper West Side,Manhattan,40.80156244767004,-73.9704847884388,t,Apartment,Private room,1.0,1.0,Real Bed,$150.00,137
33815,16191865,44931944,2015-09-23,f,1.0,t,Upper West Side,Manhattan,40.79608811331604,-73.9667790255465,t,Apartment,Entire home/apt,3.0,3.0,Real Bed,$550.00,360
33816,4655098,13080757,2014-03-13,f,3.0,t,Upper West Side,Manhattan,40.77650598637501,-73.97857611707327,t,Apartment,Private room,2.0,1.0,Real Bed,$142.00,269
33817,12234139,13089400,2014-03-13,f,1.0,t,Upper West Side,Manhattan,40.771160140873405,-73.98795890058756,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$143.00,0
33819,18077053,14401983,2014-04-17,t,1.0,t,Upper West Side,Manhattan,40.77891207887118,-73.97809711382158,t,Apartment,Private room,1.0,1.0,Real Bed,$120.00,28
33820,16323065,3820725,2012-10-10,f,1.0,t,Upper West Side,Manhattan,40.78239442764066,-73.97962899347944,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$110.00,153
33821,4271119,15638520,2014-05-17,f,1.0,t,Upper West Side,Manhattan,40.768448767123644,-73.98319772798469,t,Apartment,Private room,2.0,1.0,Real Bed,$112.00,189
33822,18024561,47536613,2015-10-27,f,1.0,t,Upper West Side,Manhattan,40.768755737721754,-73.9835892927025,t,Apartment,Entire home/apt,3.0,3.0,Real Bed,$249.00,319
33823,16456101,5351977,2013-03-06,f,4.0,t,Upper West Side,Manhattan,40.8015770277513,-73.96441989661824,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$200.00,330
33824,7803475,25847311,2015-01-09,t,1.0,t,Upper West Side,Manhattan,40.778486000714366,-73.98526506608229,t,Apartment,Entire home/apt,2.0,5.0,Real Bed,$374.00,350
33825,4053095,8734291,2013-09-09,f,2.0,t,Upper West Side,Manhattan,40.80255478910343,-73.96659153994648,t,Apartment,Private room,1.0,1.0,Real Bed,$135.00,365
33827,9115627,47500079,2015-10-26,f,2.0,t,Upper West Side,Manhattan,40.793886058936614,-73.97145846302105,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,294
